date,open,high,low,close,volume,unadjusted,putthrough
2018-08-27,32.5892,32.9760,32.3475,32.8793,2541980,34.0000,100000
2018-08-28,33.1694,33.1694,32.2024,32.5892,2582530,33.7000,0
2018-08-29,32.5892,32.9760,32.4441,32.5408,2319810,33.6500,0
2018-08-30,32.4924,33.7496,32.3957,33.7496,3286300,34.9000,200000
2018-08-31,33.6529,33.8463,33.1694,33.2661,2336200,34.4000,0
2018-09-04,32.8793,32.8793,31.1386,31.4287,4088990,32.5000,20000
2018-09-05,31.1386,32.2507,31.0902,32.0090,3283340,33.1000,0
2018-09-06,32.0090,32.1057,31.3321,31.6705,1923190,32.7500,0
2018-09-07,31.4287,33.0244,31.4287,32.7826,3171020,33.9000,0
2018-09-10,32.6859,33.3628,32.3958,32.8793,3078830,34.0000,0
2018-09-11,32.8793,34.2332,32.7826,34.1364,4371130,35.3000,0
2018-09-12,34.3298,34.4265,33.6045,33.6046,2528070,34.7500,0
2018-09-13,34.0398,34.3299,33.3628,33.8463,2984670,35.0000,0
2018-09-14,34.1364,34.3298,33.5562,33.7013,1656240,34.8500,0
2018-09-17,33.5562,33.9431,33.0727,33.0727,2164200,34.2000,0
2018-09-18,32.6859,34.1364,32.3958,34.0881,4127500,35.2500,0
2018-09-19,34.3299,34.7650,34.0397,34.1364,2943070,35.3000,0
2018-09-20,34.1364,34.5716,33.7012,34.3298,2304800,35.5000,0
2018-09-21,34.5232,34.5716,33.5078,34.1364,4631020,35.3000,0
2018-09-24,34.1364,34.4265,33.7012,33.7496,2423940,34.9000,0
2018-09-25,33.6045,34.4265,33.4595,33.8463,1820120,35.0000,0
2018-09-26,33.7979,34.2815,33.7496,33.7496,1956500,34.9000,0
2018-09-27,33.8463,33.8947,33.5078,33.5079,2074090,34.6500,0
2018-09-28,33.7497,34.4749,33.5563,34.0397,2822910,35.2000,0
2018-10-01,34.0397,34.3298,33.4595,33.6046,1733190,34.7500,0
2018-10-02,33.6530,35.2002,33.3628,35.0068,5199330,36.2000,0
2018-10-03,35.1035,35.5387,35.0068,35.4419,2361360,36.6500,0
2018-10-04,35.4903,35.5870,35.1034,35.5386,1879790,36.7500,0
2018-10-05,35.2001,35.3935,34.3298,34.3298,2834960,35.5000,0
2018-10-08,34.0397,35.0067,33.7496,34.8134,3268360,36.0000,0
2018-10-09,34.9101,35.2969,34.6200,34.9101,1270140,36.1000,0
2018-10-10,35.0068,35.0068,34.0398,34.1848,2080020,35.3500,0
2018-10-11,32.0090,33.1694,31.8156,31.8155,6573500,32.9000,0
2018-10-12,31.9122,33.0243,30.9452,32.6859,2660970,33.8000,46000
2018-10-15,32.8793,32.8793,31.5255,31.5254,1199560,32.6000,0
2018-10-16,31.5254,32.3957,31.5254,32.3958,1574440,33.5000,0
2018-10-17,32.8793,33.6530,32.8310,33.4595,2870340,34.6000,0
2018-10-18,33.2661,33.9914,32.6859,33.4595,3352560,34.6000,0
2018-10-19,32.8793,33.6046,32.6859,33.4595,2010830,34.6000,0
2018-10-22,33.8463,34.2815,33.5562,33.8463,3643590,35.0000,0
2018-10-23,33.6529,34.0397,32.3957,33.7496,3648830,34.9000,0
2018-10-24,33.7496,33.8463,31.5254,31.5254,2230710,32.6000,0
2018-10-25,29.3496,30.9452,29.3496,30.1716,4592300,31.2000,303750
2018-10-26,30.9452,31.2353,29.5914,29.5914,1877950,30.6000,0
2018-10-29,29.4947,29.7848,27.8507,27.9474,2482950,28.9000,0
2018-10-30,27.5606,28.7210,26.6903,26.6902,3140410,27.6000,0
2018-10-31,27.5605,28.5276,27.2704,28.5276,1670350,29.5000,0
2018-11-01,30.4133,30.4617,29.3012,29.3496,2974110,30.3500,0
2018-11-02,29.9782,31.3804,29.7848,31.3804,3469490,32.4500,0
2018-11-05,30.9452,31.7189,30.5584,31.7188,1732340,32.8000,0
2018-11-06,31.9122,32.0573,30.8001,30.9452,1834970,32.0000,0
2018-11-07,30.9452,31.7672,30.8485,31.3804,2117240,32.4500,0
2018-11-08,32.3958,32.3958,31.3320,31.3804,1728670,32.4500,0
2018-11-09,31.1386,31.4288,30.6068,30.6551,1790150,31.7000,0
2018-11-12,30.0749,31.3804,30.0749,31.1386,1332890,32.2000,0
2018-11-13,30.2683,30.7034,29.9782,29.9782,2054350,31.0000,0
2018-11-14,29.9782,30.4617,29.0112,29.0111,1511410,30.0000,0
2018-11-15,29.0111,30.7518,28.9144,29.9782,1574190,31.0000,0
2018-11-16,30.4617,31.3804,30.4617,31.1386,2339880,32.2000,0
2018-11-19,31.1386,31.4771,30.9452,31.1386,1520580,32.2000,0
2018-11-20,30.4133,30.9452,30.4133,30.6551,1301980,31.7000,0
2018-11-21,30.1716,31.1386,30.1232,30.9452,1747970,32.0000,0
2018-11-22,31.1386,31.3804,30.7518,30.8002,1866110,31.8500,0
2018-11-23,30.7518,31.0420,30.5584,30.6551,1340870,31.7000,0
2018-11-26,30.3650,30.8969,30.3650,30.6068,790910,31.6500,0
2018-11-27,30.8486,30.9453,29.9782,30.4133,1382030,31.4500,0
2018-11-28,30.4133,30.6067,30.2682,30.5100,764130,31.5500,0
2018-11-29,30.5100,30.9452,30.2199,30.2199,2480990,31.2500,0
2018-11-30,29.5913,30.7518,29.5913,30.3650,2611400,31.4000,0
2018-12-03,30.9452,32.4441,30.7518,32.4441,3464870,33.5500,0
2018-12-04,32.4441,32.9760,32.1056,32.2991,2374250,33.4000,0
2018-12-05,31.9123,32.9277,31.7189,32.7342,2574670,33.8500,0
2018-12-06,32.5891,32.7342,32.1056,32.5892,1984110,33.7000,0
2018-12-07,32.6859,33.2661,32.5408,32.5892,1220210,33.7000,0
2018-12-10,32.5892,32.9760,32.1540,32.5892,1556580,33.7000,0
2018-12-11,32.5892,32.7343,32.2991,32.4441,1148790,33.5500,0
2018-12-12,32.5892,33.5078,32.2990,33.5079,2225990,34.6500,0
2018-12-13,33.7980,33.7980,33.1694,33.1694,1610470,34.3000,0
2018-12-14,33.0727,33.6529,32.6859,32.7826,1214630,33.9000,0
2018-12-17,32.3474,32.9277,32.1057,32.1057,2272850,33.2000,90900
2018-12-18,31.6222,32.5409,31.4288,32.5408,2348370,33.6500,0
2018-12-19,32.5408,32.8309,32.2023,32.2024,1314340,33.3000,0
2018-12-20,32.3958,33.1211,32.2991,32.8309,1635620,33.9500,39850
2018-12-21,32.6858,32.9276,32.2990,32.8793,706310,34.0000,349000
2018-12-24,32.8793,33.6046,32.6859,32.8793,1857900,34.0000,346920
2018-12-25,32.1057,32.6375,30.6551,31.6705,1827680,32.7500,0
2018-12-26,31.6705,32.3474,31.4771,31.5254,1036860,32.6000,0
2018-12-27,32.6858,33.3144,32.4441,32.8793,1643520,34.0000,0
2018-12-28,32.6859,33.2661,32.5408,33.2661,2131820,34.4000,42390
2019-01-02,33.2661,33.2661,32.3474,32.3958,805700,33.5000,0
2019-01-03,32.3958,32.6859,30.9452,30.9452,1107500,32.0000,0
2019-01-04,30.4617,30.8968,29.7848,30.5100,1457300,31.5500,0
2019-01-07,30.9452,31.9122,30.9452,31.2353,806060,32.3000,0
2019-01-08,31.5254,31.5254,30.8485,30.9452,558540,32.0000,0
2019-01-09,31.2353,31.9606,31.0419,31.9123,1075730,33.0000,0
2019-01-10,31.9123,32.0090,31.4288,31.4287,410690,32.5000,0
2019-01-11,31.4287,31.7188,30.8001,30.8485,941940,31.9000,0
2019-01-14,30.8485,31.2837,30.4133,30.8485,755920,31.9000,0
2019-01-15,30.7034,31.7188,30.7034,31.4287,580710,32.5000,0
2019-01-16,31.6221,31.6705,31.1386,31.1386,363680,32.2000,42390
2019-01-17,31.1386,31.3320,30.8485,30.8969,297560,31.9500,0
2019-01-18,30.8969,31.2354,30.6068,30.6551,509140,31.7000,0
2019-01-21,30.9452,32.2507,30.6551,31.7672,1207560,32.8500,0
2019-01-22,31.8156,32.0090,31.6221,31.6705,563940,32.7500,0
2019-01-23,31.3320,31.7672,31.0419,31.6221,457760,32.7000,0
2019-01-24,31.4770,31.7672,31.4287,31.4287,579540,32.5000,0
2019-01-25,31.6221,31.6221,30.9452,30.9936,570980,32.0500,0
2019-01-28,30.9936,31.2837,30.7518,30.8485,545190,31.9000,0
2019-01-29,30.8485,30.8485,30.5100,30.6551,635890,31.7000,0
2019-01-30,30.8485,31.1870,30.5584,30.6551,429410,31.7000,0
2019-01-31,31.1386,31.1386,30.4617,30.4617,678130,31.5000,0
2019-02-01,30.4133,30.8002,30.3650,30.5584,537050,31.6000,0
2019-02-11,30.8002,31.1870,30.7518,30.8969,631710,31.9500,0
2019-02-12,30.9936,31.6222,30.9936,31.3804,1395780,32.4500,0
2019-02-13,31.4771,31.5255,31.1870,31.4287,1557810,32.5000,0
2019-02-14,31.4287,31.4771,31.2836,31.3320,1018550,32.4000,0
2019-02-15,31.2836,32.6859,31.0419,32.0573,1622530,33.1500,0
2019-02-18,32.3958,32.5892,32.1057,32.3958,955540,33.5000,0
2019-02-19,32.3958,32.6376,31.8156,31.8155,1143130,32.9000,0
2019-02-20,31.7188,33.7496,31.5737,32.8793,2361110,34.0000,0
2019-02-21,33.1211,33.5079,32.8793,33.1210,2157870,34.2500,0
2019-02-22,33.0726,33.5562,32.8792,32.8793,1459730,34.0000,0
2019-02-25,33.3628,33.3628,32.5892,32.8793,1687500,34.0000,0
2019-02-26,32.5892,32.8793,32.3958,32.4925,1409740,33.6000,0
2019-02-27,32.4925,32.8310,32.3958,32.4925,749060,33.6000,0
2019-02-28,32.4925,32.6376,31.4288,31.4287,1793480,32.5000,0
2019-03-01,31.5254,32.0089,31.5254,31.7672,1153130,32.8500,0
2019-03-04,32.0090,32.6375,31.9123,32.4925,918340,33.6000,0
2019-03-05,32.1057,34.1365,32.1057,33.4595,4215640,34.6000,0
2019-03-06,33.4595,33.7496,33.2661,33.6046,1601660,34.7500,100000
2019-03-07,33.8464,34.0881,33.5562,33.7496,1702650,34.9000,0
2019-03-08,33.3144,33.5562,32.7826,32.8793,1808960,34.0000,0
2019-03-11,32.9760,32.9760,32.3474,32.5408,1137250,33.6500,0
2019-03-12,32.9760,34.3298,32.6859,34.3298,1690500,35.5000,0
2019-03-13,34.1364,34.7650,34.0397,34.4266,2860920,35.6000,0
2019-03-14,34.4266,35.4903,34.0398,35.0068,2651040,36.2000,0
2019-03-15,35.0068,36.2640,34.7167,35.9738,3180240,37.2000,0
2019-03-18,35.9738,36.3606,35.6837,36.0705,2925810,37.3000,0
2019-03-19,35.9254,36.0705,35.2969,35.3936,2819110,36.6000,0
2019-03-20,34.9584,35.2969,34.3299,34.9101,2700620,36.1000,0
2019-03-21,35.0552,35.4420,33.6529,33.6529,2239650,34.8000,0
2019-03-22,34.2331,34.5232,33.6529,33.9430,1877120,35.1000,0
2019-03-25,32.9760,33.8463,32.3957,33.3628,2092900,34.5000,0
2019-03-26,33.7496,33.9430,33.0727,33.1694,1042090,34.3000,0
2019-03-27,33.7013,33.9430,33.1694,33.7496,1236550,34.9000,0
2019-03-28,33.3144,34.6683,33.3144,34.4266,2196570,35.6000,0
2019-03-29,34.4266,34.8134,34.4266,34.6200,1654790,35.8000,0
2019-04-01,34.6200,35.1035,34.1365,34.3298,909820,35.5000,0
2019-04-02,34.8133,34.8133,33.6529,33.6529,1453530,34.8000,0
2019-04-03,33.6529,34.9100,33.3144,34.5233,1895710,35.7000,0
2019-04-04,34.8134,34.8134,33.9914,34.1364,1058540,35.3000,0
2019-04-05,34.1364,34.5232,33.6529,33.8947,737650,35.0500,0
2019-04-08,33.6529,34.3782,33.6529,34.3298,1042660,35.5000,0
2019-04-09,34.3298,35.0067,34.3298,34.5716,2081540,35.7500,0
2019-04-10,34.5716,34.6200,34.0397,34.0397,522520,35.2000,0
2019-04-11,34.1364,34.3298,33.7979,33.9914,643960,35.1500,0
2019-04-12,33.9430,34.0398,33.5562,33.6046,894410,34.7500,0
2019-04-16,33.4595,34.4266,33.0727,34.3298,1404520,35.5000,0
2019-04-17,34.3298,34.3298,33.6529,33.6529,852450,34.8000,0
2019-04-18,33.6529,34.2331,33.5078,33.6529,1016060,34.8000,0
2019-04-19,33.6529,34.0397,33.5562,33.7013,293870,34.8500,0
2019-04-22,33.7013,33.7013,32.8310,33.0727,687460,34.2000,0
2019-04-23,33.4595,33.4595,32.8309,33.0727,1005740,34.2000,0
2019-04-24,33.3628,33.6529,33.1694,33.4595,538100,34.6000,60000
2019-04-25,33.4595,33.8463,33.3628,33.3628,464620,34.5000,0
2019-04-26,33.3628,33.7496,33.3628,33.6529,484200,34.8000,0
2019-05-02,33.8463,33.8463,33.3628,33.3628,483460,34.5000,0
2019-05-03,33.3628,33.6529,33.0727,33.0727,555330,34.2000,0
2019-05-06,32.5408,32.7826,31.9123,32.0090,1220260,33.1000,0
2019-05-07,32.2024,32.7826,31.8156,32.0090,949150,33.1000,0
